did	xi	sigma	mu
did:plc:22f7airvuif7friv7shlqv3t	0.573934983104017	3403.72544715447	0.0
did:plc:22ki64hr3mwl76tdm5fihtwa	1.0166888626133392	663.9420798723382	0.0
did:plc:22l2f42mh7a6j7f7xipadv5c	0.6244146081206339	1629.7338597594403	0.0
did:plc:22p7bdpxxqvmgd2ryo2xilv3	0.7695452262102959	796.0414818287339	0.0
did:plc:22rxwfvurvf2lf2fdnolu7qn	0.6856121078618403	1079.08315554543	0.0
did:plc:22s6gpysdavr4ixmnh3yjady	0.6534986647626345	2615.382233497504	0.0
did:plc:22wzxzockhgchm7cipifyzud	0.5009720031811743	4031.9760393592724	0.0
did:plc:2326ikh2klykgjdip5ldxwyf	1.5212143791620398	301.8572592515004	0.0
did:plc:232aug64tr27vmannteyirsf	0.798018610083061	2240.25859310452	0.0
did:plc:235q5blezrqmip7ryetmkm3g	0.8113013583019224	1801.337725522251	0.0
did:plc:237o7l3ztanydbqwvodh2nzx	-0.350028468235341	20966.050797976	0.0
did:plc:23ekqdl3e23tv2edijeg3zl3	2.1087170473614525	238.9121949737612	0.0
did:plc:23jbx3mbesh2ghfcecaxsk6p	0.7460728499902639	1799.2005696356646	0.0
did:plc:23r2vd3rv2wqt4zig5f4ga6i	0.622362994152549	3484.64489733147	0.0
did:plc:23uckdtolkpkeawkqqv4gesn	-0.543755753676885	30514.9115819936	0.0
did:plc:23w52iqqcuqagkq75nponvvd	1.4205376123986804	430.12382103796534	0.0
did:plc:23xqynsp3c4qiwtymmr7za3z	-0.258454842395615	17708.0351562489	0.0
did:plc:23zkqaa7skezjr4tn3bmnobm	1.9968631307591491	362.09665911228365	0.0
did:plc:242zcyjymk6qx7skkbgnzjdx	-0.267491066585913	19632.8819126963	0.0
did:plc:245mjiyeqcjbbdwwqh6rzjeg	1.722246818938188	371.1187938162347	0.0
did:plc:246mrnhvbqjn2x66sbrf67pc	-0.52038837657818	27195.5210115991	0.0
did:plc:247olvouqkgrpfyvff3ttne4	0.5538401986942965	2762.0028539476116	0.0
did:plc:24evf5f3ix2xjzwbcclvfion	0.785700342658839	2431.08276688321	0.0
did:plc:24h5bitxlhy26f6nt7vml2ku	0.6055064767177989	2088.729596121524	0.0
did:plc:24hcjsifju5hmayjyhfrazl6	0.9072432347954668	2623.569846294832	0.0
did:plc:24k7ubcs4bo427toadm2sa3o	0.46570375062475095	3759.538745069114	0.0
did:plc:24ldhpseacji6xmfxbfhs5di	0.6533218882409767	6350.62410226959	0.0
did:plc:24ptdybi7sppuzajjpt5kweq	0.6676571192128044	701.3061376475413	0.0
did:plc:24t2qp2bdyiwths7kwc5bnu7	0.13427411335255873	10653.68298364806	0.0
did:plc:25ah7xhjr5gmdzkkglyhvswv	1.7237870846271937	318.3205084864444	0.0
did:plc:25bss4vvop3afumaa34imntl	0.338397305032641	4354.60685724474	0.0
did:plc:25q77tetkpce6vmvf2s42xuv	0.7548825876509746	2310.377472819079	0.0
did:plc:25rd6ldv7ib7emnf3rkhj2wo	0.6761142475694911	1647.180789945084	0.0
did:plc:25shgfpev7lvcyxcfrhqlb5p	0.6113035045630889	2415.5275921201383	0.0
did:plc:25v4xkavm2l6ywhrhvxd5ulh	0.5641208095051558	1355.2004499633742	0.0
did:plc:25waj567vbwphpyqogvybo6n	0.613457817015947	1220.17139388251	0.0
