did	meanlog	sdlog
did:plc:226hnnaaqkxs3bsbjdgpvxd4	7.07294990837524	2.27326740979252
did:plc:22dyjlwsdvqcuh5vdyjkeaaq	6.87375165784968	1.87687707004415
did:plc:22f25tzoj2im3ywzbkarlscn	7.84973024214928	2.09689945945365
did:plc:22gsfscflzr3z4zmxrq3qhms	7.57372389707609	1.56794111451346
did:plc:22odxondntm3txhahdfh2oyu	7.42012503417667	2.18393668136661
did:plc:22ooakc5b7sszvipqlm4awhs	6.45687421426078	2.22689426763801
did:plc:22osnvusml2zzcntk5v5vend	7.12016403806428	1.75262446937181
did:plc:22sqybsfnxe3e5rs5phu5ehl	7.03825625136537	1.95325264404753
did:plc:22syovmw55lbl6z2dl3thi3d	7.37051322781578	2.1069903550498
did:plc:22t6rwepc6lgjmq7tvb6edk2	6.57640017762592	1.5952451539238
did:plc:22tbutlkylgg5nrjhbtx2svc	7.64991853875135	1.75206221974728
did:plc:22ua5jsfhqqii7okivqvazfs	6.68551050325926	1.67826493459307
did:plc:22v7zatqm3ve26kmxauq7gmc	6.77612233711192	1.70067854989431
did:plc:23crusaaiyu47t5qphtlvmpv	6.48558571206079	1.64611650902605
did:plc:23eewmqkc6djsiox2o64kzws	8.2151956488094	1.52047352252962
did:plc:23exa2n7fvpbcwz7myl2ajqh	8.63391033264952	1.43754829051847
did:plc:23fkr5e5yza6jgfyfspv7ygi	7.53521658936843	1.71924928131858
did:plc:23geb6wzurq66cxrdbjqk6vm	8.13010462593774	1.72520310976919
did:plc:23gx4ezrasge3z2dvdqdvvn7	6.64494615154523	2.19693874151001
did:plc:23hm6hmzgaszlzm5a6x2tcth	6.95614386988056	1.78466515929252
did:plc:23nfisuzvkwnlbg4prppziad	7.52449443625538	1.85153361000626
did:plc:23sx7mqiuwdy337i6gf6k75r	6.42842329894233	2.13232226522677
did:plc:23wjsvypl7adzladmsjzribh	7.42934569838075	1.80721180894123
did:plc:23zxlgo4hdx4cgxno6jchncg	7.54608463247193	2.18678609617738
did:plc:243ggjd6majh5us6qdog4t7o	7.67727848450475	2.13206590314246
did:plc:245zljxu57hx2czkfwhd4447	7.09141851545363	1.66806423122549
did:plc:24eo22wxjyidoqzcn5rw5a7i	6.38586721141179	2.30552232476878
did:plc:24hqdvb6pltlwlbu6g54joec	6.59188702206105	2.2692962063911
did:plc:24hwulbfbovormoacn4ubi7d	7.44516010431581	1.94436410920031
did:plc:24iaev47hz44fkl7pcp3yqew	7.68578191225571	1.75071440121607
did:plc:24kodgqqatq24k52skhlptot	7.69402868580309	1.81944776498881
