did	meanlog	sdlog
did:plc:222p42fegwhwfyrc3gqam76j	7.32539303346297	1.95944022887197
did:plc:224g3z6pqkn6kpptlrp7abmh	8.18151769089744	1.88357723852614
did:plc:22bnywkvxlx36yvogc5kiy7c	7.71760453172741	1.66123041447776
did:plc:22f6iu6lz6dufn4a2ixqem4o	7.89288352161749	2.00783772769604
did:plc:22gydod3dnrzu3l45tuxs36m	7.53810858101616	1.84447774453361
did:plc:22hbx4swrzrxeucjsk2rco3d	7.30191843042298	1.83427619459907
did:plc:22kdnwgvlauhoqqjw2tgxgsp	7.39717742908112	2.08394357659567
did:plc:22mcr6jv6bvav3tl3omodwkx	6.9371459698797	2.34110704204721
did:plc:22mdjnuelsmmhpb776csg4v7	7.98783460558364	1.63873031685716
did:plc:22n2ne3yqb7paavlsci4c2xe	6.89088605611429	2.29378811104408
did:plc:22n3kyg3gsjwjaxtlynnvl6g	6.81300489141958	2.33671807852267
did:plc:22ohh2btzxycm4sob5xmjjmv	7.73422265670505	2.04740886171841
did:plc:22vtz2aoxuksgivhwklovm57	8.14393678528153	1.55304275022724
did:plc:235c7vrxmzes6d46aandyvik	8.1009150006154	1.72770719957948
did:plc:23ey6vjsanzd6nskuqqwlo7c	6.79773145070266	2.04850108587967
did:plc:23jy4el7rvswcxfkijn4ujn2	7.06177147188798	1.86048293595294
did:plc:23nxbcpghhkwwcv2k3f4dqca	7.45443679856626	1.80749000048336
did:plc:23uebpytyl3u7lvjh46vvuqz	7.05569913886578	1.76589694502917
did:plc:242o4jo3zluj4lr5r5vkh53h	8.06393905837037	1.48288644737712
did:plc:246r3ct3eoap6m72w76sj3xm	7.53272932518847	1.74615434767418
did:plc:247sl4sq45wivab2hwlrlolg	7.32279020981646	1.63886627592374
did:plc:24ikri3vx3ptqpin76rmeinj	7.4279553670993	1.81633135248042
did:plc:24j73p6fbpuevxvh3nykgqll	7.0875705439134	1.82689990749234
did:plc:24l4i72hrqkcodag4fdrndlc	7.16919885736316	1.82531688701091
did:plc:24lznccs66hvqstpg66weaal	7.88670717142851	2.01339313045082
did:plc:24m57q3csulouape7wfk3pmk	6.93211774428514	1.71049000957247
did:plc:24n3cpgsd3eshz6bqe2bjifk	7.15883837985885	1.95416779398858
did:plc:24pkly54a2hlue6vg63jvbqs	7.49173805128642	2.13254223666516
did:plc:24tytnalzvtph72ejw3atwhe	7.63549382632686	1.94025317282267
did:plc:24ufgnknz53nu2rynyce543h	7.10248960048939	2.26697941586
did:plc:252i4ds5wgoyuhq4457czsd3	7.82044832622759	1.60501111827145
did:plc:254iojqqy66na4q4nhxeq4ei	7.10295324718434	1.92426230169459
did:plc:257fhkstr5bo3lhbyyj2iwh7	8.09940785864701	1.65584187106867
did:plc:25dmdnlysswxo7udousfsrh2	7.72445467327274	1.60527603681809
did:plc:25j63wu3oixknrbo7osrdzud	8.55812343232062	1.33435577179725
did:plc:25k2kpvmsnyhe2opl7ghcysf	7.42405112085273	1.73233775715235
did:plc:25n3n5dzq6h3updujzqdsrmk	7.82330879076472	1.6890265338728
did:plc:25popefrylaelmqtoygjaxgn	7.81176637333478	2.05787146685064
did:plc:25qvgvdqcpmhsbarokccp5r3	6.86911091306777	2.02149589736751
did:plc:25rpmtjpnmohrh63sdkzqjy3	7.83514621304393	1.50356562408205
did:plc:25t5snihmumhzstadncdiwfh	6.88287623047608	2.34363307082646
did:plc:25yuffpjhgoggojet2iyblpv	6.70962139646399	1.93748163722626
did:plc:267qwbqzdyev6kg4nz6gtkte	8.90009824318788	0.927474550023693
did:plc:26aa67pmvfyvi2ovafosfl6g	8.25801522723343	1.93141762076836
did:plc:26b4tgimjo5ayvek2atg6y47	7.80880622834499	2.01054578719611
did:plc:26cjznlx2osyiwkq6yh7qj77	8.23554784675937	1.33744277913883
did:plc:26itlig44xxq2yvug4elr5l6	6.71455793579074	2.44259981209962
