did	shape	scale
did:plc:2223nm2cymlcxuluagkbg7yd	0.675667761318859	11189.046293043
did:plc:22432mcigx2wdmymqvv55xel	0.950868320311971	11945.431325203
did:plc:225s45yvh5e6q27lfffzrzm4	0.772768681655687	7789.03879563132
did:plc:22bbsnxhd33spyupwiw37f3n	0.665761247290909	10082.8672716448
did:plc:22bifsykkjirfnncgsryjpbw	0.710930467350659	6947.3823458463
did:plc:22i4r3bgj57rgnef736qve37	0.713386554803966	4840.1876481582
did:plc:22jfhyovti5lftbda6uad6kv	0.884013950012391	9911.55746390997
did:plc:22l2z4p4qhhyobx22dfcvijs	0.703743332764969	4183.49199438126
did:plc:22ltzatytb5tmr3tewf7wbeb	0.54862350955978	5735.99014816581
did:plc:22ndjx4s5ldytxeierzw72i4	0.696447210660183	5560.13906938842
did:plc:22njdz6mcntc4jzvxhse2mth	0.796689645320911	10822.0196501011
did:plc:22pb6h47yam2zwa6rrop6atr	0.691236116320474	4611.85373985032
did:plc:22qib46qdyujvqj3omlgso6q	0.756783613064034	14142.8243900162
did:plc:22rp2efnl6vjsbraxmeyexfz	0.657749287909284	4001.57714532056
did:plc:22sxk5gv7gwszmynno4qylky	0.634279564114044	5770.65114061309
did:plc:22tplkdis5afh5r6orloy253	0.914866889103723	12277.2436015541
did:plc:22xn5milf2z4qt6jl6gx4fwb	0.651841250100024	6161.62028167564
did:plc:22ywb7ztki2lesjt6zzgnxyv	0.725825941795247	10469.0496969613
did:plc:232ozf3prtcbgkueatmagxe4	0.764828194787048	1087.04549721818
did:plc:235boeodyait575gq6wwh3gq	0.656507479726341	7797.99024444045
did:plc:235cqmjmnivjxn3ms6w4hfpb	0.489379757680983	4277.71297213967
did:plc:23bjkib7lzc3cupoxpfncoyu	0.573124109765629	4317.78966135634
did:plc:23bwwvw3gkwk7dumps5ozeqm	0.62460593839388	11508.5247069976
did:plc:23c7x43wypiucbfqc3ykos27	0.680200900286794	12925.2440203854
did:plc:23dujmulcqw3b4du3pqxktdc	0.632853310219955	8024.3762747582
did:plc:23esqceleecia2wd2jap35zp	0.804033619583855	8133.45790805853
did:plc:23hg36i2xrjzwz6gqq3hpgxb	0.574263973037621	6096.62190394256
did:plc:23hkm47fpgmmsp5fdjegekzj	0.911395401281964	4397.90726517641
did:plc:23m4peoipdsl33p5ml5vsadf	0.574993429417079	10273.5290240973
did:plc:23qvooetdidpyixkbflu3urr	0.615376100476323	5086.54597722064
did:plc:23ri23mxwfkbr6ktwkejtyqz	0.798478129756985	7487.83972665175
did:plc:23tqqqoeeo23dxrwwu2yjwwq	0.567142809538582	7633.56040045659
did:plc:23wylgtr7buvf5g7ccxzvaqy	0.653346740117726	5917.23402594747
did:plc:23ysdh4roro4qnwhcq4tyrg3	0.651423586218156	7007.71465756132
did:plc:242klu2qlitxuozyk3ra7cpj	0.620800801813694	5751.0957546358
did:plc:24alqtstkycnqsywgpzjhj3c	0.542202865103163	7579.44400546695
