did	duration_shape	duration_rate	gap_xi	gap_sigma	gap_mu
did:plc:2222hy622o762brrkc2okdnz	0.687115438323729	0.00338623245553527	0.7696721831603792	992.8314489210031	0.0
did:plc:222ocxmd3qfo5pn7juncj5ds	0.756379791370059	0.00364921767418536	1.2048069906466095	792.7484038843155	0.0
did:plc:2232udxwy7iah3ow3zprhup4	0.603959032981607	0.00233574075826938	0.7283641257305339	1014.8106094534184	0.0
did:plc:22bb66lhxv6cbtobg5ma6jh5	0.535058536355641	0.00308067867758918	1.007579691184944	1832.4250499081054	0.0
did:plc:22i2fvqplhq7o6uo7x5fxfqu	0.601639288511059	0.00220470887062221	0.896595648810541	681.2836860495474	0.0
did:plc:22kyob5ol2rcqr4rku6tyeol	0.791645370072165	0.00676530835393287	0.49931784750285	2714.61381079834	0.0
did:plc:22o23tz7bmmklmykyz7h3cem	0.754818100362658	0.00346922022509321	0.6730605572376894	560.8686705604223	0.0
did:plc:22qjj2h2xfdzx5um7fnoimop	0.803026579279336	0.00344183303124381	0.6346591401049874	543.0656719410191	0.0
did:plc:22qjq2a2v46fumu4aly4rvtp	1.33799822178264	0.00602464992070029	-0.0990507923884491	12526.4844844001	0.0
did:plc:22qknl7an723rt2kjsbola7u	0.453651967042712	0.00252376953566091	0.7446069217767387	534.9899607618731	0.0
did:plc:22u3xlfdxqxyzva2fsljotcy	0.514452223314759	0.00227481924341058	0.405419354474505	900.6592744606064	0.0
did:plc:22xcapbcnp54grbbqibeyudr	0.515061542058979	0.00544862530238716	0.5536258096850872	2346.5371285883416	0.0
did:plc:22ximgct4dxbmv4hlekxmnmp	0.693607460141791	0.00492670393709694	0.722998557879714	2004.3113757068886	0.0
did:plc:233j7q3talilsawdau4uwnpf	0.743628414022597	0.00712367052494376	0.438062275651011	2150.31877483625	0.0
did:plc:233yvfolrjkgyhe25rgotj6e	0.679171827575252	0.00759178225815567	0.6962792652218923	2438.888066884494	0.0
