did	duration_xi	duration_sigma	duration_mu	gap_shape	gap_scale
did:plc:223mpba7musabxpbl25ioruh	0.0952423892759901	480.6868956909512	0.0	0.521596704306455	2370.86585484584
did:plc:226gnftoyzrlqlqonczd27vu	0.6173104166650786	83.15900282091839	0.0	0.809389886238895	14804.7551212254
did:plc:227snr4aa7dxgbnmjcby2rjb	2.5850007515439275	5.170001503087855	2.0	0.668899043752344	6953.24059769547
did:plc:22ccf3agzcwrepki5dn2ybvw	-0.371161274394842	1775.17929012211	0.0	0.517765676178421	8583.16533400119
did:plc:22denej7bbmvn5pckhifwnac	-0.421608680665589	256.828918086928	0.0	0.634553784116641	10388.5045550957
did:plc:22dg5e66uxgvg5f3iaynfpjt	0.552257818798688	295.629868244627	0.0	0.645484520822286	5517.1408508298
did:plc:22dmx3gigsyjezgi7ihkw7hp	0.508389459454765	141.062896259052	0.0	0.535765149656987	5722.64733188654
did:plc:22esfuozibgepqudtq5c6nhi	2.921936559730312	2.921936559730312	1.0	0.75712679851616	4919.60740842289
did:plc:22evzl733fsguzm6whhtei2j	-0.550861875408611	581.199494550785	0.0	0.558595132695093	9579.92019187918
did:plc:22gfclbgeltroxj2tnz47yno	-0.430689180265238	271.319335562742	0.0	0.646044556684848	8964.72211292874
did:plc:22giak3uydgtd4paitk524nl	-0.389233628782351	798.191938690958	0.0	0.540332901369605	11317.1921174459
did:plc:22if5jv7xrzwesls65kkm5lg	-0.179639167328435	360.049062411604	0.0	0.784887139142862	4308.77957848584
did:plc:22kzpwbbmz2cpkjsmisrgglp	-0.474483816515574	405.035950427583	0.0	1.26337237384669	1806.13469598902
did:plc:22mqkfcok6f64mivxdured3w	-0.289843741626182	313.035315502518	0.0	0.71105246859879	5864.15246493553
did:plc:22ppv7jqhwacj6gb7y2s7yp2	0.123607967342918	870.340097457817	0.0	0.5269954468788	4719.48812040249
did:plc:22r6temnauqu2nkngzwuad5g	-0.245806523459111	921.961229384849	0.0	0.554206264383671	4919.61712437989
did:plc:22uorm5dfvymgy7wcayu3b5h	-0.426672069640505	415.172633766207	0.0	0.693990990525886	12864.418299055
did:plc:22vddtwaocoluygetymtg2s5	-0.284840686432046	169.517436849232	0.0	0.662745837721699	6480.09772315069
