did	meanlog	sdlog
did:plc:225ye7dykffy6bpc2ppyud37	6.83493249822891	2.01223196358604
did:plc:22bofth3ephz7mwjenak6ves	7.48215484125799	2.34307927896429
did:plc:22c2ok43udop4zqoqpy72ejg	8.74955272717838	1.3483214856152
did:plc:22fyoakkfli6tcd5kmozvvxp	7.29150374863096	1.54264275262567
did:plc:22ggikaclis4opquajbyyjeb	6.8459108610551	2.76426910813589
did:plc:22jk6fbbgwlrwmfiqufttb6s	6.76173456749319	2.01120574435492
did:plc:22m4kc2r5hfwx3r22fowd3ld	7.75307029549489	2.04753577872336
did:plc:22mq5gwrane3v3resyjs62qg	7.4190001924697	1.56863277557961
did:plc:22nkscs2h22gouiaj3k76xoh	7.44374786751311	1.95348474825008
did:plc:236ugng2r3dvndkupiyubnxv	8.46053817825102	1.76634852031363
did:plc:23aerrvpwy3ncnnkn7m7stho	6.95093453494528	1.92825254439069
did:plc:23bmz75s75dmj4yb32w5yeew	7.05114555306449	2.8389673815363
did:plc:23cetdqpg4p56a7lo6s6hhr5	6.89932358810452	2.0742639923119
did:plc:23dqupyzm76rr36ohwh4cfn4	6.60545431157323	1.90134178136989
did:plc:23hw3atxbjz7ukueu5vflclm	6.86460451432063	2.2024285557653
did:plc:23oekqdowvyql2yqm6dx25iy	7.40257758432451	1.934198187261
did:plc:23vrwzeox3gsyk6vw4srzkcw	6.51917386870364	1.67626571151861
did:plc:23xjb5aeghfvfz7ewgcbbajz	8.39532764515251	1.49539412704071
did:plc:242pryljgkmzgl5gzdwp7pfu	7.18447636684172	1.722583302778
did:plc:2452u7s6seau4ty63cccblyh	6.92959017246349	2.15639128878562
did:plc:245epjggozlt6yqnlnrs6oir	8.37684676412545	1.56152233118431
did:plc:246i3y35k5cwsjdibwekixfv	7.57639188154787	1.88575833447455
did:plc:246nozpk25f5hqvrihpr5zlk	7.39523126607933	1.99887932023642
did:plc:247r4pqjbead3ja4gi6luuqv	6.83678199211112	2.15715034881392
did:plc:24bknnf7nhi55pbo5vnohttr	8.19270003184719	1.47074445924704
did:plc:24dfjxegqyieedx5tz4qoai4	6.38537436947742	1.99600043048084
did:plc:24h73yzg24afxgs5bhubwxwm	7.09476273275176	2.69889905025987
did:plc:24icq75goz5q5hhyccao75qf	7.03010766005972	1.93978029295817
did:plc:24jxec6pqzzhzaffl36vq3mx	7.51918062787019	1.87240464704228
did:plc:24mb7e2rc3t33di3awulo5x3	8.10134853049189	1.48323876659569
did:plc:24w7pmdkexffaoinhjdktnvz	6.92535819467348	2.19493430641218
did:plc:257wekqxg4hyapkq6k47igmp	6.90195062958678	1.79029111399935
did:plc:25cbnme325tnqcac6znukgei	7.09918932412926	2.0923211588589
did:plc:25i6cpod7srfq65ve4avgyzk	7.49250419737792	1.62025583857163
did:plc:25pvf7lsgdsryibpd7wwc4uh	7.86631684099565	1.39381869022729
did:plc:25qqquy3xbzrrco6zbpjizqf	7.12245780182273	1.71395714142567
did:plc:25wek72o2vmmzo4vr7baey4w	6.60164578778076	2.81168382199883
did:plc:25zaihfainr3taifdoqic53h	6.90690812671503	1.87912265453486
did:plc:263ixbri4holavs2wnyjfngc	6.42662523254689	1.83125699498544
did:plc:2644m7jnaobv5gbehy53ohui	7.78675180610761	1.32222625961128
did:plc:26ayhdsynfm3rbjm2w3bsvtz	6.67417818118777	1.77419665378153
did:plc:26d5atq6hnmdmwb736wimdfg	7.72621626160835	1.39417836602472
did:plc:26g4zlr5bgjkvkjw2i2ukr3m	8.10774812196081	1.40896226483937
did:plc:26imfrif6xc3xlodobfcypod	7.54203929899409	1.71638516324746
did:plc:26l47egxeqpkbdrjg24wesvp	7.16102765740104	2.10710682710974
did:plc:26ohjahylcmxt47kx3gklvap	7.79144359917262	1.90754445592084
did:plc:26p3k3tkrqgmxrs2mevng25y	7.82077510239857	1.76297437185188
did:plc:26wtidwfuthodvhfcjccu5md	8.19890122270215	1.71694938869772
did:plc:26xnq4uegxbtvlrkrpevtnoh	7.26951100438922	2.37877461793935
did:plc:272qkfam5t7gunl5agkvjcay	8.37093449868402	1.72891688289662
did:plc:275ylb3lzlfsgdjb7t2m5ofy	6.4084875037609	2.20528545289935
did:plc:277uyfkatg6mzwtfitjmboye	7.21805130739847	2.1387275244412
did:plc:27bgp6atgohtxxa3njy5g2el	8.85039991007006	1.38291346358698
did:plc:27bl4ma44vh4aby42eaaix4n	6.56582434389687	1.85907548637724
did:plc:27iiolpcamfan7y6xthggmb6	7.46059266893849	1.9399334949447
did:plc:27k7pbbtynaqtjj5hd6fi75d	7.00694477385785	2.04638512574674
did:plc:27kyj6dmb5oe63j6cposh3io	8.11115074495102	1.66623856552849
did:plc:27sdlb3f6oqn43l6nptffhee	8.38260216908199	1.19794110533084
did:plc:27tzszvb6fvtc6vinuemvl3x	6.96001380418801	1.46650985489571
did:plc:27vpikmkrlmoyk3lz77n6n7l	7.04126164649953	2.22365913370011
did:plc:27vxrn2zc6lcv364ala4zjip	7.43424553890897	2.37428027083549
did:plc:27wdndxpjo7luivtese2za4e	6.28235368270022	1.7566534551152
did:plc:27xn73b4paztyyts6daa27fb	7.23009275123316	1.6138223689367
did:plc:2a667lmb5oneu7aze66osiif	7.32876665141425	1.85562760835493
did:plc:2a6pqcmfw57ilswfbshpyjw5	6.62092084815135	2.15309230779668
did:plc:2aczg2wxwl6wzc2qshqgsbtu	7.09825030216396	2.45357412872475
did:plc:2adwwe7ycqxiq6htrlfpfq3v	7.16917568408841	1.49498554684353
did:plc:2agpggb7qrmu2vhxhewbugvu	7.38482667181524	2.04889776790292
did:plc:2aj6f7v5eefb77t7fnetnknd	7.1703631807304	2.6118290114313
did:plc:2amvd4gclzbffgpyixw7avzk	8.02777715577196	1.69204395947424
did:plc:2aqybdhkgskcgdhm5gh3coqw	7.47481460842088	1.55292812836076
did:plc:2avf66vd6ityw5bpjmovsrwp	7.32334470794947	2.29944370242631
did:plc:2awnpmkjbzltpr3bbq3cnrlp	7.88511877899722	2.01299228921372
