did	xi	sigma	mu
did:plc:225ye7dykffy6bpc2ppyud37	-0.444367856891229	306.989657489914	0.0
did:plc:22bofth3ephz7mwjenak6ves	-0.472113681857872	421.8568039472	0.0
did:plc:22c2ok43udop4zqoqpy72ejg	-0.28672677364347	126.270688924566	0.0
did:plc:22fyoakkfli6tcd5kmozvvxp	0.529253527178124	77.2771424777976	0.0
did:plc:22ggikaclis4opquajbyyjeb	-0.296733771156897	930.859526959646	0.0
did:plc:22jk6fbbgwlrwmfiqufttb6s	0.323414014472425	255.000354832261	0.0
did:plc:22m4kc2r5hfwx3r22fowd3ld	2.6819619983500855	5.363923996700171	2.0
did:plc:22mq5gwrane3v3resyjs62qg	2.5856529160125614	2.5856529160125614	1.0
did:plc:22nkscs2h22gouiaj3k76xoh	-0.37178709096631	360.585298345579	0.0
did:plc:236ugng2r3dvndkupiyubnxv	-0.624748700847821	451.02595511491	0.0
did:plc:23aerrvpwy3ncnnkn7m7stho	0.23113992622510562	240.2700224583022	0.0
did:plc:23bmz75s75dmj4yb32w5yeew	-0.126015974514579	1379.38808239152	0.0
did:plc:23cetdqpg4p56a7lo6s6hhr5	-0.291737512984739	785.931826416388	0.0
did:plc:23dqupyzm76rr36ohwh4cfn4	0.22889909217027035	187.36011792411216	0.0
did:plc:23hw3atxbjz7ukueu5vflclm	-0.0402820099882846	592.615342593407	0.0
did:plc:23oekqdowvyql2yqm6dx25iy	0.438532438170859	149.572265502693	0.0
did:plc:23vrwzeox3gsyk6vw4srzkcw	0.15234818428441677	323.0635044185972	0.0
did:plc:23xjb5aeghfvfz7ewgcbbajz	-0.397233658779369	175.022631327609	0.0
did:plc:242pryljgkmzgl5gzdwp7pfu	3.020128292825246	3.020128292825246	1.0
did:plc:2452u7s6seau4ty63cccblyh	-0.182034814977682	494.143095111537	0.0
did:plc:245epjggozlt6yqnlnrs6oir	2.672403798824968	2.672403798824968	1.0
did:plc:246i3y35k5cwsjdibwekixfv	0.2728721330282315	183.3638822778173	0.0
did:plc:246nozpk25f5hqvrihpr5zlk	0.37102663920163	174.504327975111	0.0
did:plc:247r4pqjbead3ja4gi6luuqv	0.400619608658033	287.56089507007	0.0
did:plc:24bknnf7nhi55pbo5vnohttr	2.536693250227271	2.536693250227271	1.0
did:plc:24dfjxegqyieedx5tz4qoai4	-0.14135512078184	447.16026060399	0.0
did:plc:24h73yzg24afxgs5bhubwxwm	-0.604413859242701	1244.24294621738	0.0
did:plc:24icq75goz5q5hhyccao75qf	0.5192210201974271	209.6577261735162	0.0
did:plc:24jxec6pqzzhzaffl36vq3mx	-0.44806094799436	327.923338681461	0.0
did:plc:24mb7e2rc3t33di3awulo5x3	0.355511340865319	70.9433564642148	0.0
did:plc:24w7pmdkexffaoinhjdktnvz	0.0995193512184517	477.815155319163	0.0
did:plc:257wekqxg4hyapkq6k47igmp	-0.178039269457018	294.876332433916	0.0
did:plc:25cbnme325tnqcac6znukgei	0.213367387060319	271.000865178679	0.0
did:plc:25i6cpod7srfq65ve4avgyzk	3.0319486018992463	3.0319486018992463	1.0
did:plc:25pvf7lsgdsryibpd7wwc4uh	1.5108556707525223	1.5108556707525223	1.0
did:plc:25qqquy3xbzrrco6zbpjizqf	2.908031036029163	2.908031036029163	1.0
did:plc:25wek72o2vmmzo4vr7baey4w	1.0359704734978457	125.35242729323933	121.0
did:plc:25zaihfainr3taifdoqic53h	0.22561855406768141	269.67772467510656	0.0
did:plc:263ixbri4holavs2wnyjfngc	0.377405161333376	262.513536231894	0.0
did:plc:2644m7jnaobv5gbehy53ohui	2.049496262590509	4.098992525181018	2.0
did:plc:26ayhdsynfm3rbjm2w3bsvtz	0.129754035132039	279.415285979801	0.0
did:plc:26d5atq6hnmdmwb736wimdfg	-0.309805853031791	165.195221669223	0.0
did:plc:26g4zlr5bgjkvkjw2i2ukr3m	1.8470326965069248	1.8470326965069248	1.0
did:plc:26imfrif6xc3xlodobfcypod	-0.184429675195409	375.171755890322	0.0
did:plc:26l47egxeqpkbdrjg24wesvp	0.3122106519872072	240.72981284118816	0.0
did:plc:26ohjahylcmxt47kx3gklvap	-0.386827780655837	213.710272775642	0.0
