did	xi	sigma	mu
did:plc:223xvid4vlle2ujoq43bb4h2	0.7048598815240635	4869.77039552396	0.0
did:plc:2245x6sqmbiueuqzhjwllydb	0.9286419405763199	191.34510155079144	0.0
did:plc:225g4y2e35b4fylvbsbe752f	0.7684164868225832	916.9831248984786	0.0
did:plc:226df2f3asa7lnde65j4i3lu	0.5957188103399407	238.1696331424336	0.0
did:plc:226kfwd7yfn4izogpdbiuup7	0.44321572571244	6417.43392628264	0.0
did:plc:22g3a6cwnj2jxfjgabkihjdi	-0.392544901951505	22730.5489643189	0.0
did:plc:22niu5w3iw4cghdpdqomndhd	0.8309110084673508	1275.8831406102388	0.0
did:plc:22spwweh3ipnyun54ogo6u7d	0.7041543411056024	1988.0922691627209	0.0
did:plc:22tjxkktnhvayta4nhrfjjhy	0.4016034114130308	1778.880755237186	0.0
did:plc:23cmzbkoqiic3yj44yh7lmel	0.0571140906987969	14580.8191161119	0.0
did:plc:23ejsvhubgejw6r3z2lqfiqf	0.609224624429707	6242.45824753652	0.0
did:plc:23hx4slusam7yovblbcestdh	1.198259789052438	1061.388828276114	0.0
did:plc:23leb2qbyjkufil2tvkqnwf4	0.7214777852520047	1146.0808743200698	0.0
did:plc:23nyrn6q5s3obclj2wltgagv	0.7064066259537867	1552.1255278769768	0.0
did:plc:23t2omov62a4uerngior67pw	0.5740687210366612	4730.6464459036415	0.0
did:plc:23tc33rlb7lsuv3hoo5zqxqw	0.8122176163125833	1793.736836945808	0.0
did:plc:23vqp5mwlcuy7n7uxkanjptc	0.6423624980523304	712.6506092517961	0.0
did:plc:243jflrwf26pexfbauihzd3g	-0.510396757643611	28047.314258198	0.0
did:plc:245ryzg2mvhipesm7odi53s2	0.8637327834881076	638.9608223987631	0.0
did:plc:24adbgtcnm6gubfbrzubsmqw	0.6946684262207301	2159.029468694029	3108.0
did:plc:24c6gxqj3offnuh4gk7gchqc	0.25314660342548784	9476.269210656257	0.0
did:plc:24otxdgx2fwuvqfx2spgl3c3	0.6329642107284194	986.9638005680276	0.0
did:plc:24wzsfj2kie2sqw4rcpmnwtc	0.7236907424707743	2228.8575840119033	0.0
did:plc:254nlqitb7bhhesgugjjo4sg	0.509897757612176	4630.92541134409	0.0
did:plc:256ozbaemzhi2eoslclq6l3v	-0.300545868482045	24286.3404658892	0.0
did:plc:256t7occnvixhagj6jchj6qp	0.833001521062422	1255.603859868249	0.0
did:plc:25bhka7cek7uxvshdcdtbish	0.476368857948895	1889.25266495429	0.0
did:plc:25eexdwklvrdl7ilfae3sf2j	-0.106323398006001	827.052288230724	0.0
did:plc:25ruvsgd5sh7vbdkqq56p5qk	0.5851244076630571	683.3515663096367	0.0
did:plc:25wqxeiff2nhkc24q3cqavli	0.6324959264474649	1409.0696672076463	0.0
did:plc:25x43fa3rkpinmg37fy55cfw	1.0650245200250048	166.0736212711378	0.0
did:plc:265sxq4og3dhbgldiiq23xhp	0.4880253252816182	3176.2481528250305	0.0
did:plc:26c2ygc4iirjtiddci2rot7b	-0.531120465320486	15431.3772268036	0.0
did:plc:26g77o7mhvrewxcokkfba4iw	0.18629911269757848	7405.903545788847	0.0
did:plc:26qralqqmxxsta7k544ui3if	0.43515045100194333	1160.9159308959918	0.0
did:plc:26u5wdo6raad4mgtrafkrta7	0.46220488251723	4057.7622831452	0.0
did:plc:26whz2okgjxpx6io64jbmtcn	-0.133751314538045	18104.3862331408	0.0
did:plc:272mh2elc5xzmqtu5s447yhk	0.611768554927886	3466.62516552914	0.0
did:plc:276ajw2pvlxjqezogemg7plp	0.9930500620373561	929.2874169050523	0.0
did:plc:277odkpqm3vuge62zhhtxsq4	0.5873845085966154	1342.9630101577657	0.0
did:plc:27h46fiwyg54gtnmy5cvinpe	0.7387449706683406	856.8224375544787	0.0
did:plc:27hsydcbrjsp6o7523cx4ppr	0.7936579134564382	3173.380641934812	0.0
did:plc:27kq6irtfhq6wg7falxzcflg	-0.194152440410908	21635.444760864	0.0
did:plc:27nxu3jpcyejhtzfqnikn725	0.10859058908556438	7042.489597701035	0.0
did:plc:27xjxedobgjcpvktsas625u5	0.8993727018882597	899.833256302427	0.0
did:plc:2abk4n2vrmaq7p7vc6ewqg4l	0.21464363714859397	3183.858316938024	0.0
did:plc:2afgkwefukqsvvvp4iwewlhx	0.489807763423157	1632.67413312191	0.0
did:plc:2afrzbnrwagijuumywvm4suu	1.814902085387565	338.4617507017381	0.0
did:plc:2aglcvuhyfynqnareynuhpiv	0.9351739318250186	752.2899976002348	0.0
did:plc:2amnkge5a6hplfwyesmxqkfl	0.8715700258354397	1010.4414746409667	0.0
did:plc:2ar4wic2hic6ohadnykjd77w	0.45923314579257046	2394.269139945496	0.0
did:plc:2b54rvaccqtj6ueemzxyzipm	0.719739312195548	1199.56316605159	0.0
did:plc:2b7ujfpv3lb5zozqnj6qbxtt	0.497686620710139	2967.47518978013	0.0
did:plc:2baphan6snddu7b43kuuwjdi	1.3248192925780184	943.1501012457737	0.0
did:plc:2bei6y2fekr6hn4qqmrrb73s	0.6744498814349836	1244.1396785092238	0.0
did:plc:2bhqog7sscz4mqopkr33gej5	0.5066762380767125	1310.0161554011106	0.0
did:plc:2ccpiwo6m337emzufzc2himy	0.5942464933586599	1638.840495576149	0.0
did:plc:2cte4wipyk47qjujtxrskqcx	1.773819480446738	420.76439571153327	0.0
did:plc:2d6tcf6a4tn3wkg4nesg75cq	0.5245968910812719	2389.322409011174	0.0
