did	xi	sigma	mu
did:plc:223xvid4vlle2ujoq43bb4h2	1.8100728222769973	10.860436933661983	6.0
did:plc:2245x6sqmbiueuqzhjwllydb	1.5059270077848756	240.9483212455801	160.0
did:plc:225g4y2e35b4fylvbsbe752f	-0.402973539709097	406.910173107583	0.0
did:plc:226df2f3asa7lnde65j4i3lu	-0.20346744747039	460.816012419107	0.0
did:plc:226kfwd7yfn4izogpdbiuup7	1.72170948455154	1.72170948455154	1.0
did:plc:22g3a6cwnj2jxfjgabkihjdi	1.6141821306793205	11.299274914755243	7.0
did:plc:22niu5w3iw4cghdpdqomndhd	0.310520445357228	144.532834778637	0.0
did:plc:22spwweh3ipnyun54ogo6u7d	2.775863926644971	2.775863926644971	1.0
did:plc:22tjxkktnhvayta4nhrfjjhy	0.3385990157217856	74.84313296364435	0.0
did:plc:23cmzbkoqiic3yj44yh7lmel	0.5770420864422456	85.5617078271514	0.0
did:plc:23ejsvhubgejw6r3z2lqfiqf	0.478216671311326	34.2447737757266	0.0
did:plc:23hx4slusam7yovblbcestdh	-0.0572102702599976	967.960244638448	0.0
did:plc:23leb2qbyjkufil2tvkqnwf4	-0.39802079921471	263.755930593503	0.0
did:plc:23nyrn6q5s3obclj2wltgagv	3.337515113799197	3.337515113799197	1.0
did:plc:23t2omov62a4uerngior67pw	2.0929714716524734	2.0929714716524734	1.0
did:plc:23tc33rlb7lsuv3hoo5zqxqw	2.928708632259126	2.928708632259126	1.0
did:plc:23vqp5mwlcuy7n7uxkanjptc	3.3319271232286796	3.3319271232286796	1.0
did:plc:243jflrwf26pexfbauihzd3g	-0.391279852932994	450.727982113712	0.0
did:plc:245ryzg2mvhipesm7odi53s2	0.26683565417194877	170.30400825016636	0.0
did:plc:24adbgtcnm6gubfbrzubsmqw	-1.31756747004974	245.067549429252	0.0
did:plc:24c6gxqj3offnuh4gk7gchqc	1.981320835582269	1.981320835582269	1.0
did:plc:24otxdgx2fwuvqfx2spgl3c3	0.348258483706762	113.819297930362	0.0
did:plc:24wzsfj2kie2sqw4rcpmnwtc	2.855763285476529	2.855763285476529	1.0
did:plc:254nlqitb7bhhesgugjjo4sg	0.4074445712532195	100.74883332744606	0.0
did:plc:256ozbaemzhi2eoslclq6l3v	-1.2048412709606	1442.19500133984	0.0
did:plc:256t7occnvixhagj6jchj6qp	3.0311769256747683	3.0311769256747683	1.0
did:plc:25bhka7cek7uxvshdcdtbish	2.1920264994597036	2.1920264994597036	1.0
did:plc:25eexdwklvrdl7ilfae3sf2j	-0.187429719051528	208.817620413076	0.0
did:plc:25ruvsgd5sh7vbdkqq56p5qk	0.317819501123007	162.937374479389	0.0
did:plc:25wqxeiff2nhkc24q3cqavli	3.063023233103324	3.063023233103324	1.0
did:plc:25x43fa3rkpinmg37fy55cfw	0.209365729225728	1250.78159919901	0.0
did:plc:265sxq4og3dhbgldiiq23xhp	2.616485370387996	2.616485370387996	1.0
did:plc:26c2ygc4iirjtiddci2rot7b	0.8820333148484574	0.8820333148484574	1.0
did:plc:26g77o7mhvrewxcokkfba4iw	-0.551085234161799	238.479813128045	0.0
did:plc:26qralqqmxxsta7k544ui3if	-0.31192692133211	262.851856666441	0.0
did:plc:26u5wdo6raad4mgtrafkrta7	1.547145876301774	1.547145876301774	1.0
did:plc:26whz2okgjxpx6io64jbmtcn	-0.659211219364151	309.74757176592	0.0
did:plc:272mh2elc5xzmqtu5s447yhk	-0.808692039782648	274.238781046126	0.0
did:plc:276ajw2pvlxjqezogemg7plp	-0.218186961371709	479.375869388819	0.0
did:plc:277odkpqm3vuge62zhhtxsq4	0.240911106266421	114.486437470741	0.0
did:plc:27h46fiwyg54gtnmy5cvinpe	2.8173507978563546	2.8173507978563546	1.0
did:plc:27hsydcbrjsp6o7523cx4ppr	0.311716951061445	44.2908020209116	0.0
did:plc:27kq6irtfhq6wg7falxzcflg	-0.493072005135154	457.477109926367	0.0
did:plc:27nxu3jpcyejhtzfqnikn725	2.177948417616467	2.177948417616467	1.0
did:plc:27xjxedobgjcpvktsas625u5	-0.191037966501745	250.626916112261	0.0
did:plc:2abk4n2vrmaq7p7vc6ewqg4l	1.928341914112849	1.928341914112849	1.0
did:plc:2afgkwefukqsvvvp4iwewlhx	0.18413435243769333	140.18236564117518	0.0
did:plc:2afrzbnrwagijuumywvm4suu	-0.333312737522706	560.983974786661	0.0
did:plc:2aglcvuhyfynqnareynuhpiv	0.2134247380322467	142.0736820657264	0.0
did:plc:2amnkge5a6hplfwyesmxqkfl	-0.288627347971576	182.641911726983	0.0
did:plc:2ar4wic2hic6ohadnykjd77w	0.43882744360775894	75.72321382177815	0.0
did:plc:2b54rvaccqtj6ueemzxyzipm	0.379059458459159	210.018531874499	0.0
did:plc:2b7ujfpv3lb5zozqnj6qbxtt	2.953217816011415	2.953217816011415	1.0
did:plc:2baphan6snddu7b43kuuwjdi	-0.276218915681115	202.888086011006	0.0
did:plc:2bei6y2fekr6hn4qqmrrb73s	0.29866286343871523	253.5090114645284	0.0
did:plc:2bhqog7sscz4mqopkr33gej5	1.5018372515764369	1.5018372515764369	1.0
did:plc:2ccpiwo6m337emzufzc2himy	0.30158020352510145	128.31634238729123	0.0
did:plc:2cte4wipyk47qjujtxrskqcx	-0.169519522727564	1024.71808604955	0.0
did:plc:2d6tcf6a4tn3wkg4nesg75cq	2.8787793772779904	2.8787793772779904	1.0
did:plc:2dmkyajf2c6t46hnumjentei	-0.421336177419569	209.400917480387	0.0
did:plc:2dsilvmarmvcymvkxycjr36m	0.2762281418957247	102.35457530681025	0.0
