did	shape	scale
did:plc:223mpba7musabxpbl25ioruh	0.521596704306455	2370.86585484584
did:plc:226gnftoyzrlqlqonczd27vu	0.809389886238895	14804.7551212254
did:plc:227snr4aa7dxgbnmjcby2rjb	0.668899043752344	6953.24059769547
did:plc:22ccf3agzcwrepki5dn2ybvw	0.517765676178421	8583.16533400119
did:plc:22denej7bbmvn5pckhifwnac	0.634553784116641	10388.5045550957
did:plc:22dg5e66uxgvg5f3iaynfpjt	0.645484520822286	5517.1408508298
did:plc:22dmx3gigsyjezgi7ihkw7hp	0.535765149656987	5722.64733188654
did:plc:22esfuozibgepqudtq5c6nhi	0.75712679851616	4919.60740842289
did:plc:22evzl733fsguzm6whhtei2j	0.558595132695093	9579.92019187918
did:plc:22gfclbgeltroxj2tnz47yno	0.646044556684848	8964.72211292874
did:plc:22giak3uydgtd4paitk524nl	0.540332901369605	11317.1921174459
did:plc:22if5jv7xrzwesls65kkm5lg	0.784887139142862	4308.77957848584
did:plc:22kzpwbbmz2cpkjsmisrgglp	1.26337237384669	1806.13469598902
did:plc:22mqkfcok6f64mivxdured3w	0.71105246859879	5864.15246493553
did:plc:22ppv7jqhwacj6gb7y2s7yp2	0.5269954468788	4719.48812040249
did:plc:22r6temnauqu2nkngzwuad5g	0.554206264383671	4919.61712437989
did:plc:22uorm5dfvymgy7wcayu3b5h	0.693990990525886	12864.418299055
did:plc:22vddtwaocoluygetymtg2s5	0.662745837721699	6480.09772315069
did:plc:22vhkfhbcw2yzec7mq5sudnn	0.522849587210268	8753.81940703075
did:plc:22vjxxpzorhmartq3m54xaek	0.48774987829936	6291.6205965027
did:plc:22vrwmyzbd5hihyqbudwgpej	0.81849106022642	8554.26206922501
did:plc:22wnriwhinulo4aotzbjwfe5	0.575407328138719	5215.67873354248
did:plc:22zpyaz76avfertprxvl5whi	0.65470142250773	9266.18833273877
did:plc:232qwdlt6moytpzugjfwbd46	0.553404020094695	9277.4438863076
did:plc:233luksta3siwhmstcbjl6ce	0.636389418456662	2516.47411127108
did:plc:233vxz7hv2et3d5iu6eh2iaw	0.633056364662457	8640.3400374791
did:plc:23623h2h57m5xwmskgbzelab	0.68725444051206	6109.48610651584
did:plc:237abu4izghpdlibnfbij6yv	0.570743346082588	11427.7754067647
did:plc:23av2he2wkvps4wevkkcp7pw	0.567805581352615	8536.34982863555
did:plc:23bb5ltye4g5mx2uwm2423zn	0.75551639121179	9394.8402112811
did:plc:23begnb5qheeekgqwehpl2va	0.629884863362387	6816.00646854646
did:plc:23er2ijtw767jl4xwp5qkfdh	0.711763428558767	3474.34620082554
did:plc:23gujdavcuxdj42eh7jfs6ad	0.744547062433687	6458.50831057409
did:plc:23hm7exgnfrpkq3juyz6trzb	0.657667336879253	4142.42102241676
did:plc:23ht5msirg6bllnapdzybg3o	0.719090014540372	9685.65479741404
did:plc:23k3zjcakmf5q2lh2p6u23sa	0.546004429832011	4984.79415731018
did:plc:23rza7oznmtuibcbeog46wkb	0.911294610665438	15792.1424943198
did:plc:23tp2absy25shkaoxiqk4zkm	0.529509516640931	5081.73710826401
did:plc:23udat7mme2w2iffmnfrwlk5	0.795728987367305	9392.65777321308
did:plc:23vg5r2pdxfpvu442gxkn7fa	0.579046130112349	5760.86562804981
did:plc:242e25wkrvfw3lidlvj6zqsk	0.649414149984	3552.6269139554
did:plc:243axqtp74yyvaw4sviqknpg	0.617509162786476	9775.18727406292
did:plc:246fiq5wiubjrlqbjra35ixz	0.588476600623598	6943.54666223668
did:plc:24b3ypggztum7k5ewtffvbsa	0.640371147887155	4627.48193411905
did:plc:24e3o7fqxhjvylqih3jxduke	0.781191584782385	11159.4777017338
did:plc:24ejea66n42s3m5wbpl2khd3	0.723634132605667	12568.8523995869
did:plc:24erhlyi3b72ml5cj3c2edd4	0.594853373413275	12781.7453265663
did:plc:24f4k6kobqn6depmy5we7y25	0.89955203157423	15662.8190591388
did:plc:24fspheyms5hu4bufbw642ca	0.68687309073407	9604.62803156064
did:plc:24hp5eryob23lrcctvlyj4xt	0.691824163131057	3540.01908867442
did:plc:24i7wfsmyusbjimkplb4runx	0.695130239142332	6648.9722311485
did:plc:24ivg7spm4ud2fu757ci7dpm	0.722306394082539	8021.17171444568
did:plc:24ixj2l4askqph36y25s2ttm	0.64698452773995	7914.76071241545
did:plc:24k6txn2b4qm63wqila7uyw6	0.769734868109562	6156.61836487521
did:plc:24klrcodytgseb2v242uecs2	0.790821029584999	8808.08568082378
did:plc:24nrrmsbpsgejvuvzhnppopt	0.565098849198824	5257.57838732247
did:plc:24p4v3tihueyxsfgavyzlhlk	0.720312730336641	5214.77380547139
did:plc:24q3jqoillnuusbkawwbwdun	0.481586536305849	5877.65703713271
did:plc:24sohj6ujx52dwwivbcuthxp	0.671534770711744	9199.56335750261
did:plc:24svrwyov7cvvrdhzezc3d67	0.534942592786139	5393.48696287764
did:plc:24tr6j7sqm2wzxamcuutfgi2	0.644977143783825	12426.1525921173
did:plc:24w74q2zfkzemkikzweooohi	0.693808015836874	790.211826004299
did:plc:24wqo757h234hx3mox2h3mvc	0.572142205430492	4781.79222316032
did:plc:253cgjz2lkve7bftyu25xz5z	0.527755507528809	2874.23062346703
did:plc:253re3dmhxl7gzdiv35j3ksk	0.589360000888347	4698.20918928296
did:plc:256465q3hqqmuwykpgtl6adb	0.596781937233192	3079.07182947634
did:plc:256aekazylbbffknltgrv4mq	0.535297167417957	11436.0160591618
