did	xi	sigma	mu
did:plc:223mpba7musabxpbl25ioruh	0.0952423892759901	480.6868956909512	0.0
did:plc:226gnftoyzrlqlqonczd27vu	0.6173104166650786	83.15900282091839	0.0
did:plc:227snr4aa7dxgbnmjcby2rjb	2.5850007515439275	5.170001503087855	2.0
did:plc:22ccf3agzcwrepki5dn2ybvw	-0.371161274394842	1775.17929012211	0.0
did:plc:22denej7bbmvn5pckhifwnac	-0.421608680665589	256.828918086928	0.0
did:plc:22dg5e66uxgvg5f3iaynfpjt	0.552257818798688	295.629868244627	0.0
did:plc:22dmx3gigsyjezgi7ihkw7hp	0.508389459454765	141.062896259052	0.0
did:plc:22esfuozibgepqudtq5c6nhi	2.921936559730312	2.921936559730312	1.0
did:plc:22evzl733fsguzm6whhtei2j	-0.550861875408611	581.199494550785	0.0
did:plc:22gfclbgeltroxj2tnz47yno	-0.430689180265238	271.319335562742	0.0
did:plc:22giak3uydgtd4paitk524nl	-0.389233628782351	798.191938690958	0.0
did:plc:22if5jv7xrzwesls65kkm5lg	-0.179639167328435	360.049062411604	0.0
did:plc:22kzpwbbmz2cpkjsmisrgglp	-0.474483816515574	405.035950427583	0.0
did:plc:22mqkfcok6f64mivxdured3w	-0.289843741626182	313.035315502518	0.0
did:plc:22ppv7jqhwacj6gb7y2s7yp2	0.123607967342918	870.340097457817	0.0
did:plc:22r6temnauqu2nkngzwuad5g	-0.245806523459111	921.961229384849	0.0
did:plc:22uorm5dfvymgy7wcayu3b5h	-0.426672069640505	415.172633766207	0.0
did:plc:22vddtwaocoluygetymtg2s5	-0.284840686432046	169.517436849232	0.0
did:plc:22vhkfhbcw2yzec7mq5sudnn	-0.401924064458975	542.484052020349	0.0
did:plc:22vjxxpzorhmartq3m54xaek	-0.340264024730574	602.237326431108	0.0
did:plc:22vrwmyzbd5hihyqbudwgpej	-0.410065090983558	322.076692047738	0.0
did:plc:22wnriwhinulo4aotzbjwfe5	1.9539744011738032	13.677820808216621	7.0
did:plc:22zpyaz76avfertprxvl5whi	2.3698074901578674	2.3698074901578674	1.0
did:plc:232qwdlt6moytpzugjfwbd46	1.958694549373228	1.958694549373228	1.0
did:plc:233luksta3siwhmstcbjl6ce	0.5084691066792805	166.39630680410903	0.0
did:plc:233vxz7hv2et3d5iu6eh2iaw	-0.39305483980921	325.288048066215	0.0
did:plc:23623h2h57m5xwmskgbzelab	1.9264937012751835	3.852987402550367	2.0
did:plc:237abu4izghpdlibnfbij6yv	-0.278863175017716	522.203917507416	0.0
did:plc:23av2he2wkvps4wevkkcp7pw	-0.522597096060886	386.584100606737	0.0
did:plc:23bb5ltye4g5mx2uwm2423zn	-0.323269994200614	211.150552608081	0.0
did:plc:23begnb5qheeekgqwehpl2va	0.23346878360373	400.81711922675	0.0
did:plc:23er2ijtw767jl4xwp5qkfdh	-0.228779482518526	437.038260292918	0.0
did:plc:23gujdavcuxdj42eh7jfs6ad	0.2573093295278777	181.92108304183708	0.0
did:plc:23hm7exgnfrpkq3juyz6trzb	-0.368933923732156	159.416025938902	0.0
did:plc:23ht5msirg6bllnapdzybg3o	2.0075845702655446	2.0075845702655446	1.0
did:plc:23k3zjcakmf5q2lh2p6u23sa	-0.353115491643214	242.323347133882	0.0
did:plc:23rza7oznmtuibcbeog46wkb	2.4347792073913457	4.869558414782691	2.0
did:plc:23tp2absy25shkaoxiqk4zkm	-0.0924641380499986	818.138832733064	0.0
did:plc:23udat7mme2w2iffmnfrwlk5	2.6902578026242945	2.6902578026242945	1.0
did:plc:23vg5r2pdxfpvu442gxkn7fa	-0.313113077259416	518.320420384046	0.0
did:plc:242e25wkrvfw3lidlvj6zqsk	0.29554027522427306	122.03548160305695	0.0
did:plc:243axqtp74yyvaw4sviqknpg	-0.375144484614092	252.975231774725	0.0
did:plc:246fiq5wiubjrlqbjra35ixz	2.119251568633353	2.119251568633353	1.0
did:plc:24b3ypggztum7k5ewtffvbsa	-0.230555977203907	254.038265211914	0.0
did:plc:24e3o7fqxhjvylqih3jxduke	-0.611487138064698	376.623485178024	0.0
did:plc:24ejea66n42s3m5wbpl2khd3	-0.491283722435805	505.114823152362	0.0
did:plc:24erhlyi3b72ml5cj3c2edd4	-0.26601553943217	886.97939080103	0.0
did:plc:24f4k6kobqn6depmy5we7y25	1.9073345144399265	1.9073345144399265	1.0
did:plc:24fspheyms5hu4bufbw642ca	1.4021109336109603	2.8042218672219206	2.0
did:plc:24hp5eryob23lrcctvlyj4xt	0.260212900460218	151.587867508145	0.0
did:plc:24i7wfsmyusbjimkplb4runx	0.503579778243377	75.6242608524089	0.0
did:plc:24ivg7spm4ud2fu757ci7dpm	-0.31580686415559	638.628264263411	0.0
did:plc:24ixj2l4askqph36y25s2ttm	-0.0293836290406699	721.820643530365	0.0
did:plc:24k6txn2b4qm63wqila7uyw6	2.534049038254795	2.534049038254795	1.0
did:plc:24klrcodytgseb2v242uecs2	-0.279474909310927	217.855708684317	0.0
did:plc:24nrrmsbpsgejvuvzhnppopt	3.3577902786541833	3.3577902786541833	1.0
did:plc:24p4v3tihueyxsfgavyzlhlk	0.25994612461918765	226.20894936207847	0.0
did:plc:24q3jqoillnuusbkawwbwdun	-0.563984034612739	780.752086508967	0.0
did:plc:24sohj6ujx52dwwivbcuthxp	0.461503028256121	52.5380973677507	0.0
did:plc:24svrwyov7cvvrdhzezc3d67	0.25194297276830413	391.9874492612307	0.0
did:plc:24tr6j7sqm2wzxamcuutfgi2	-0.580015969915163	584.345032024215	0.0
did:plc:24w74q2zfkzemkikzweooohi	-0.309795711781511	513.9692459558	0.0
did:plc:24wqo757h234hx3mox2h3mvc	0.3124517410500334	96.95663892175004	0.0
did:plc:253cgjz2lkve7bftyu25xz5z	-0.402330366977505	311.553625872528	0.0
did:plc:253re3dmhxl7gzdiv35j3ksk	-0.154783055279496	803.554832692971	0.0
did:plc:256465q3hqqmuwykpgtl6adb	-0.344439887579655	304.61954759153	0.0
did:plc:256aekazylbbffknltgrv4mq	-0.716449129251847	751.252845688524	0.0
