did	meanlog	sdlog
did:plc:222rnvnta2lbl364bog2plxw	7.27528498074497	2.09101408506801
did:plc:223r4bopyi7riwnnbsteeumd	7.74437715966184	1.79953265258145
did:plc:223xhskrta7j5u2eptfb3dok	6.71699201960361	2.30871927529049
did:plc:224ylblbl45nowmd3bivounp	8.11869605707852	1.531538281518
did:plc:22744p6ath3d4ua7en6tjl4h	6.92170941707946	1.56607616176529
did:plc:227vwq64pakhw7ix6smmqazc	6.98403716871017	2.000904963837
did:plc:227wt2beuowy4ufb2lv65tqx	7.53117296577316	2.19225262325597
did:plc:22asoggzz4u7yppfet5rbd2v	8.03401691855064	1.55668521201912
did:plc:22bb4y5cxdp3eucibibb4fkp	7.28360654719955	2.01726290104526
did:plc:22cgsvs3wt2yekhqrb3bvfzm	6.65231396805874	1.79150876314574
did:plc:22cqfgiatsi6wysprz6i5dsz	6.98724756646681	1.83049713780134
did:plc:22gi6mtrqe2wo7joz7yym7tp	7.63400422545042	1.88501917729053
did:plc:22jcflnbnkynvzv6x3hs3x5j	6.88197058866223	1.95266519754224
did:plc:22l5hixwr3ffouf6eabgpvo2	7.61707731221338	1.99193200899876
did:plc:22lnvams6upm4zr4hp6rxnru	8.85768848871334	1.19260089043953
did:plc:22lskm3yq2efjhkanfdo346h	6.90512298889062	2.31418954910672
did:plc:22nbdyy6osxr2hepwh3n43nh	7.04413630580419	2.16005710355258
did:plc:22o6bzavrjuqkowfjhxzxusp	7.90514025864415	1.75099046669652
did:plc:22pffrh6ot2qrvlvwraulyfx	6.36281035035234	1.87313216118405
did:plc:22qifndqapgo7vpzdsxdjf6i	6.50375570596999	2.83303822871565
did:plc:22rk5khjmq2ja7ccw3bkq7h6	8.1238961066602	1.56731055115577
did:plc:22ytg5gvocx2igjmauxxmt3j	7.67730545698196	1.7287531754788
did:plc:234e6xj264lhhvxxlszj5ymb	7.12218210261983	1.96218579361459
did:plc:234w533nwdkdjxwznuepmkhv	7.24936916885634	1.98242451461612
did:plc:235gcub4hiqwhqevewuunzkv	7.12138102068384	2.84100223964227
did:plc:236snx5jo3x7ytrfdvz25n57	7.52568602931368	1.85246218329926
did:plc:2373gmka6swamb3wwcdqoefs	6.03087006250314	1.67860894481753
did:plc:23a2jubisfqhw3dw54qctdri	7.34709451476749	2.23815570388416
did:plc:23b4l6zju64am2zjqpxbi72k	7.07490405395703	2.51170353979856
did:plc:23dls5ojb3llarv5wc4bubpm	7.11370603485276	1.7002027183957
did:plc:23e6qmug2vwcnsfv2fywuy4b	5.98375103980903	1.96587472067857
did:plc:23epywkl7mojdkwqbtnnfvs7	6.84978470963993	1.6902761939684
did:plc:23i22nsp5ngjawpnypj2eya7	7.65484874681297	1.96112825769946
did:plc:23iyixtz6a7hy44vf2h4kc4y	7.1754304107938	1.87451059108478
did:plc:23lx7eh6fgtozhaogunq222k	6.84412830022333	1.84593811070389
did:plc:23ndpsy5huh44lhlzixygihd	7.2975526034823	1.68796287815375
did:plc:23pc2ywkoytp4lz4pezhkyfm	6.74882315990734	2.12481111036166
did:plc:23qeqysal63digb5ubffmrvg	7.35063124492697	1.89462728851613
did:plc:244dhc5kw7asrhd7i4li7khx	6.54955840731989	1.97958386677515
did:plc:244xl32fo32kyegdmqe5giwq	7.13754707032606	2.12750494862701
did:plc:245kmgm5kwfm7vef45qb7y3r	6.1298425570822	1.80693796080113
did:plc:246xwb4zcoo6bqj6in6or2e2	6.86590033566176	2.18602588522206
did:plc:24axfkkbms3tdgkckl6nboh2	7.24920267901863	2.24651309247915
did:plc:24caeveukqvy46evpr6ateui	7.17448783422424	1.91617723367214
did:plc:24lmdnes3l6oa2hektwbhb63	7.21573304883127	2.19926305373215
did:plc:24ngrqljhck7hpvbgrg7a23k	7.28958378050589	1.95106055949034
did:plc:24o5qvyti3uvyz7nq6yxk3hw	6.86498257863789	1.72201388294235
did:plc:24ptibumhbx5k5rsgqzrjydq	8.48135655790794	1.25218224094922
did:plc:24qap36if26fkmv7gcqe6q5x	6.83652005873748	2.26499854084301
did:plc:24ripjigkzqyg55hzvy5g5dr	7.1411091592139	1.89112328072773
did:plc:24vynkvx5iwtjo4tokbkyqpx	7.04724379353427	2.54078554962229
did:plc:24y42qjfsont75jgie4ca2rw	6.59540867862733	1.70478058144773
did:plc:24ycpum4hbkdspj36howj6ws	7.23275210706191	1.67459695985186
did:plc:254sryh4lrza7gjkniuvi6vv	7.33921683161417	1.97127571088533
did:plc:257rfprzo3q7hkyb7bqreygu	6.25955142548038	1.70200970838953
did:plc:25ebauspo4vhvdry3a6f64ij	6.72215937929026	2.46932025956136
did:plc:25gdhx47uei2ilqosnop6gw4	6.87419208286835	2.178581833383
did:plc:25khrkdsoqykxmicxpfgt5un	7.20443309404927	2.0237309584814
did:plc:25kkmjmdc4xf46um4fdqlftf	6.56018752284297	2.04694128765592
did:plc:25luffrcs7hdzgasdznn7x6l	7.9725873119832	2.38437927038345
did:plc:25mif47wir5eezsmn56gvyd4	6.94416633146249	1.69199068796408
did:plc:25pccx5gxs6s5h6obbv43pzb	6.63595095275702	2.06433715512968
did:plc:25qz6orebhkcb4gnm42sx5ew	7.58919387923325	2.00747092365182
did:plc:25s7ma6ash5wvcqhsuw6hi2e	7.71609916124007	2.20180308601087
did:plc:25x5qfrtpga5fsepgr3gakkm	7.31337934381287	1.37692184914807
did:plc:25xawumvjmehxwq65liffsp7	6.51435784217874	2.05424249057747
