did	shape	scale
did:plc:223cehpjllvkqgjg7mryz5dj	0.52569100518601	8940.77270885992
did:plc:223eaz6uecpa3t63jdlojutp	0.489626402915742	4716.83346274169
did:plc:225bux4f4towfookf3tnls7h	0.535709165313305	4835.14652480708
did:plc:2275pukjjw2mqllto4lly6z3	0.792998416806191	6293.92157825087
did:plc:227elnhync3rwi66l2fgw3n2	0.635472874307097	5145.71211095791
did:plc:227qnypcxaxvwaka5czhgz72	0.605448128811875	3981.36099036394
did:plc:227uczwheoiprueoguoupb2s	0.45562848220205	6219.70538240134
did:plc:22ezkuvas6f545oal47snp5x	0.742351031996582	9407.64456880188
did:plc:22f5a63sxbuigtxxaeuo6kpr	0.605567538675705	5635.22079048202
did:plc:22kgcbfmuavhl53csuf66zva	0.626049197840596	3348.3425221326
did:plc:22ls7bdujfx6ipvne6ivnjv7	0.585728293091981	8789.45372060835
did:plc:22mshyn6o5y5shfbmsas6vhc	0.848517014470831	12961.3427584191
did:plc:22q3omck5vinwthkvriruxbc	0.769604884002745	6757.34549744435
did:plc:22q5isc3yjvjqbxwwwa6b7eo	0.840924450995824	11978.5872514221
did:plc:22sbpbyoihypawgsae5rqeyj	0.780130250153221	14550.8216919727
did:plc:22shnav5j3le7lkiuifjm4p6	0.666336009143646	3240.85188961345
did:plc:22solp3h75zecfor7bzutmvu	0.658113112711005	9008.36404507539
did:plc:22stgwolwz4nov2ujv34tl2a	0.5531953095655	8182.64057247086
did:plc:22syuojtpliwbksbmhq7w6y4	0.697712656362572	3962.69331536064
did:plc:22uztpd2yhc4zo23islk3dkm	0.495659041719078	7429.33840316668
did:plc:22vj26gfhtolg6rioff2bc2r	0.574973797422175	10074.089360556
did:plc:22wrembleg4ebes2hrilygp2	0.54185656868605	3377.39984227913
did:plc:22zs3oubujuzwa7qmy2mv2mp	0.659057758086571	5565.91150995807
did:plc:232huqskdibuzhiwnyn6avo2	0.650083573364125	6872.53905910976
did:plc:2344iin7yl7l5ngj53lffm3y	0.664377054846948	7341.46392059348
did:plc:23535gyqrolsoafpybzqf76q	0.792756772336932	8032.73073738635
did:plc:237e5nb3kyx7phx65375bpp3	0.838490965309106	9161.70421245683
did:plc:237nbik4jwe5vgfsbgletvyc	0.699924209364584	7080.49598200692
did:plc:23b25i5dt3g4f2rawom4xesr	0.605826112721749	4547.60194915146
did:plc:23b2qcq4cjtijvl6m62u7ng6	0.636475027137974	10043.4822649194
did:plc:23d2563myeuxpylnk6pmtthu	0.552202845556856	4915.94716624
did:plc:23esgdxwklgtgjoew3ou6swb	0.721193990055656	5538.77998057524
did:plc:23fej5cz7jmmf7pme6xb6pe3	0.636999906779433	7623.75599440296
did:plc:23ilvxukhmjrnqqmv3nlovyi	0.503804087428454	3154.75487799941
did:plc:23iqog4twbankk47kq3sskyt	0.570984669520269	3789.32897936163
did:plc:23jdeqvotmg57jjct3yd7s5v	0.726731917375083	4361.25577343648
did:plc:23kobpqut36jsqozrg3e5sst	0.581419227527644	3551.79237954239
did:plc:23lro6ockg5azwcfd47qcnru	0.46347287739898	4843.98025574252
did:plc:23nuxcrhnsi4ru4bimf4it2a	0.567599000196975	2666.7714998912
did:plc:23nxtqhpk2yflurcrwggjoza	0.727873761138815	13269.5290347534
did:plc:23o57jnnw3mh4cobfpns3j5h	0.57635719998391	3589.13941794326
did:plc:23ob5xfyb5eq36nuavvd5l2i	0.543158331500913	6917.40929750811
did:plc:23oclefmms4y75tyzzrnkdsy	0.694003330670458	9621.58930853088
did:plc:23orudp6jnzhbk7wndshaw3h	0.558267405970212	3053.21155236735
did:plc:23p24ujhxkos4tuywowi3hio	0.564650958381099	7248.18532630972
did:plc:23pncmjvi63rjk2yvggk5zjj	0.761762785631683	9949.76458671203
did:plc:23skgcxbz4zvp2izjgrehl6o	0.558234855667896	2702.34212745256
did:plc:23w7hxvn5lm3y2pomrjn3jqg	0.706835511164419	13836.0069800429
did:plc:243trhcajxzpa4rjmssql3hk	0.617295578322646	2900.01958096066
did:plc:244py2nzfmcwf3ejb447mu4n	0.777817801720388	10504.6513712294
did:plc:244wkbmaft2bggkgnv45dh4g	0.789076826830621	13696.7258422897
did:plc:246ab46zxu3a3r7fwbdahnsa	0.607058245699188	5441.00653343146
did:plc:24dvnnvkldc55nsgtrmb7gkr	0.562840068725577	4503.26388094673
did:plc:24ellg66xaky3kprhgbitvkz	0.60307329457403	7196.26885925696
did:plc:24fygc4bzcnqfqep33zsu4qr	0.719359571847203	3559.24684889846
did:plc:24gxr27ibql6xp3mwgvszoqn	0.463463891126921	3813.73206080849
did:plc:24kfdq2fyxbrw2bisrynhxfo	0.653025455309359	6641.62391460424
did:plc:24kt7tyfuailasdzdv43ufez	0.811328007443492	10359.6783056453
did:plc:24ktbqk66vvvxxd3ht37bnpg	0.590250807832456	3584.03980667631
did:plc:24lj2i62yc5rihyaph5fozer	0.730147216092047	4823.70523410179
did:plc:24mqk6gygcxnryx7e73h2n4j	0.756761376270065	7881.94605974733
did:plc:24nvei3y6apmkwnutqjvcrwr	0.583988991316973	8928.02176478718
did:plc:24onk6fshiv6a3v77zjruncc	0.613474120112047	6214.04324414716
did:plc:24qa5ydzmwu6nfil7izcoluc	0.713265566505986	12138.37753831
did:plc:24rmusmdhhh7v6fvr45fbso6	0.556558752629874	7327.14152071297
did:plc:24rppvu2blrzm5gu6liw6yma	0.615604691911738	7426.90339044497
did:plc:24sgxdlbxabrqazkrz4awpc5	0.591416282811898	3331.64247544574
did:plc:24sqo6i3sbr56cwhcg74ezso	0.543142877538997	8739.53788348493
did:plc:24t2qe7g3eof4alkhohgdkn6	0.726245199386888	11528.643707167
did:plc:24tfjluvewauipu4lrxd3f5l	0.475526783901494	5066.79566986074
did:plc:24tk6zxj75sn3o4xpaqwi6tv	0.413805729466037	4632.50893896508
did:plc:24u7fipdb7ovhluro3lg6ste	0.582550554766153	8273.13766337674
did:plc:24uo7tizyqdyy43kvvfjqbar	0.647202018047742	2410.19313214709
did:plc:24v4vynzohmrt6meran46rym	0.708271153902553	8304.75081170315
did:plc:24vmomipieltbiillwaqxrpo	0.697652369533519	6699.41306747415
did:plc:24vulh4rnnqzznduz55lqgpl	0.628030928481453	4077.41715759076
did:plc:24wxcp67q43s56oisx5grq5u	0.638222521450249	3471.44925045744
did:plc:24xmtazrkaxh7kwx2ehginec	0.586504062038389	3964.10091713214
did:plc:252lfcmoiuubexn2qa3xiy6l	0.555187234524415	8768.58476037829
did:plc:2545q5vi5ljbmy2ipef5bcrl	0.545556363079136	9650.67074069295
did:plc:255mlskmn5pihub3xhqxtuc6	0.682657353935473	4705.30472827684
did:plc:2562zn6ygvh7dve4pywzrg46	0.737325191524222	5143.32928747647
did:plc:256sg23hptxjxosjjylyjdkn	1.45042266451935	20526.6363950783
did:plc:2572mdxbxn5g6uxmiofl2yty	0.661168274592926	8009.54862258752
did:plc:25a7v556rps3zywrmd4asbvh	0.57665723545809	4919.77022432196
did:plc:25anudmtjqflemqcpfr5yn7l	0.686281968857343	8140.90722188707
did:plc:25cpyqmlpynwume57aklrsbh	0.521115568689487	5658.97715546336
did:plc:25cya7xzb5qfrpspvpszf74d	0.606267935656747	4952.90525848701
did:plc:25dfnpxmhxqibi4iyiuw2usg	0.451024103689922	7484.55520579499
did:plc:25djycwtjyjocat746ytjvmf	0.583796970385022	1851.30913172562
did:plc:25fsl5yf5n26y4sxfaia7eko	0.623105715008162	4338.49812578588
did:plc:25gypb7deqgwpovi42vqq34o	0.652335860301256	7550.27200176174
did:plc:25h4fkowienty5ox32azsme2	0.48551765183396	5407.11783211301
did:plc:25ijthqu2fskqt5wb5nwriis	0.880408668667265	13879.7757744865
did:plc:25jvzikz3wi4qecyi7oivy3h	0.472794953253907	3451.15555921299
did:plc:25rpu6nphqx5dwlkez7worlp	0.523673706323791	8580.96619567592
did:plc:25rshud3fhxlueq5cibw2ia5	0.84438842844531	11249.4971254557
did:plc:25txd4mzpdr7psggdoel34am	0.508124871795258	9630.80500108206
did:plc:25z5aqkcdj3anwyumu2tmt7b	0.831708917347575	9268.93898103781
did:plc:25zisusnpfq6k5kcfcku2rn6	0.707049544044565	13588.1036590415
did:plc:2626ber2lqggicant3larusc	0.605766092039714	3461.70146943808
did:plc:263ogremddsgya4wzkb7zaje	0.620881690530385	13051.840584027
did:plc:2654w3prs54ak7275iey7jvy	0.604792565074366	6897.8223092246
did:plc:265vzgcgt34kde3px7u3a34w	0.631323643332705	6244.47745974792
did:plc:266uy3mi6oyncdgfmfi7va7e	0.662958743465648	4285.04836130949
did:plc:267xt7fqln7fpzwpjrujlh2t	0.643826920882696	5688.03362056404
did:plc:26alb6sglxjjo6dam5srt47e	0.629954711481082	6858.56795853773
did:plc:26cmoprzz6q6u72vsm4xm4qo	0.669407553809298	4760.80061517533
did:plc:26ctuqhykt4enqklkikfrcml	0.671382809775693	8004.36601621412
did:plc:26fltrityrvw2tcx2gabknng	0.487767567085558	3780.76331509735
did:plc:26gcpagiphgjezhpxtc6hnpf	0.605667657589829	7690.07093944451
did:plc:26jrfrzv6bcgo6vcemjukud7	0.587422777148739	5185.39285036318
